 MM/DD/YY	HH:MM:SS	psia	degC	
 
10/17/11	17:38:02	13.92	29.8
10/17/11	17:38:32	13.92	29.8
10/17/11	17:39:02	13.93	29.7
10/17/11	17:39:32	13.94	29.7
10/17/11	17:40:02	13.97	29.7
10/17/11	17:40:32	13.97	29.7
10/17/11	17:41:02	13.67	29.7
10/17/11	17:41:32	13.84	29.8
10/17/11	17:42:02	13.89	29.9
10/17/11	17:42:32	13.86	29.9
10/17/11	17:43:02	13.85	30.0
10/17/11	17:43:32	13.85	30.1
10/17/11	17:44:02	13.39	30.1
10/17/11	17:44:32	13.06	30.2
10/17/11	17:45:02	13.61	30.4
10/17/11	17:45:32	13.25	30.5
10/17/11	17:46:02	14.12	30.7
10/17/11	17:46:32	13.94	30.7
10/17/11	17:47:02	13.86	30.8
10/17/11	17:47:32	13.87	30.8
10/17/11	17:48:02	13.88	30.8
10/17/11	17:48:32	13.91	30.8
10/17/11	17:49:02	13.93	30.8
10/17/11	17:49:32	13.95	30.8
10/17/11	17:50:02	14.01	30.8
10/17/11	17:50:32	14.02	30.8
10/17/11	17:51:02	14.03	30.7
10/17/11	17:51:32	14.03	30.7
10/17/11	17:52:02	14.05	30.7
10/17/11	17:52:32	14.09	30.6
10/17/11	17:53:02	14.10	30.6
10/17/11	17:53:32	14.11	30.5
10/17/11	17:54:02	14.12	30.5
10/17/11	17:54:32	14.12	30.4
10/17/11	17:55:02	14.14	30.4
10/17/11	17:55:32	14.17	30.3
10/17/11	17:56:02	14.18	30.3
10/17/11	17:56:32	14.16	30.2
10/17/11	17:57:02	14.18	30.2
10/17/11	17:57:32	14.19	30.1
10/17/11	17:58:02	14.17	30.1
10/17/11	17:58:32	14.17	30.0
10/17/11	17:59:02	14.17	30.0
10/17/11	17:59:32	14.16	29.9
10/17/11	18:00:02	14.15	29.9
10/17/11	18:00:32	14.17	29.8
10/17/11	18:01:02	14.18	29.8
10/17/11	18:01:32	14.17	29.7
10/17/11	18:02:02	14.20	29.7
10/17/11	18:02:32	14.20	29.6
10/17/11	18:03:02	14.17	29.6
10/17/11	18:03:32	14.19	29.5
10/17/11	18:04:02	14.18	29.5
10/17/11	18:04:32	14.18	29.5
10/17/11	18:05:02	14.18	29.4
10/17/11	18:05:32	14.20	29.4
10/17/11	18:06:02	14.20	29.3
10/17/11	18:06:32	14.19	29.3
10/17/11	18:07:02	14.15	29.3
10/17/11	18:07:32	14.14	29.2
10/17/11	18:08:02	14.19	29.2
10/17/11	18:08:32	14.18	29.1
10/17/11	18:09:02	14.18	29.1
10/17/11	18:09:32	14.19	29.1
10/17/11	18:10:02	14.13	29.0
10/17/11	18:10:32	14.15	29.0
10/17/11	18:11:02	14.16	29.0
10/17/11	18:11:32	14.19	28.9
10/17/11	18:12:02	14.19	28.9
10/17/11	18:12:32	14.19	28.9
10/17/11	18:13:02	14.19	28.8
10/17/11	18:13:32	14.17	28.8
10/17/11	18:14:02	14.18	28.8
10/17/11	18:14:32	14.17	28.7
10/17/11	18:15:02	14.14	28.7
10/17/11	18:15:32	14.15	28.7
10/17/11	18:16:02	14.12	28.6
10/17/11	18:16:32	14.12	28.6
10/17/11	18:17:02	14.13	28.6
10/17/11	18:17:32	14.15	28.5
10/17/11	18:18:02	14.17	28.5
10/17/11	18:18:32	14.16	28.5
10/17/11	18:19:02	14.15	28.5
10/17/11	18:19:32	14.17	28.4
10/17/11	18:20:02	14.17	28.4
10/17/11	18:20:32	14.17	28.4
10/17/11	18:21:02	14.18	28.3
10/17/11	18:21:32	14.17	28.3
10/17/11	18:22:02	14.16	28.3
10/17/11	18:22:32	14.18	28.3
10/17/11	18:23:02	14.17	28.3
10/17/11	18:23:32	14.17	28.2
10/17/11	18:24:02	14.17	28.2
10/17/11	18:24:32	14.18	28.2
10/17/11	18:25:02	14.18	28.2
10/17/11	18:25:32	14.17	28.2
10/17/11	18:26:02	14.17	28.1
10/17/11	18:26:32	14.17	28.1
10/17/11	18:27:02	14.16	28.1
10/17/11	18:27:32	14.16	28.1
10/17/11	18:28:02	14.15	28.0
10/17/11	18:28:32	14.16	28.0
10/17/11	18:29:02	14.16	28.0
10/17/11	18:29:32	14.17	28.0
10/17/11	18:30:02	14.17	28.0
10/17/11	18:30:32	14.16	27.9
10/17/11	18:31:02	14.17	27.9
10/17/11	18:31:32	14.16	27.9
10/17/11	18:32:02	14.15	27.9
10/17/11	18:32:32	14.15	27.9
10/17/11	18:33:02	14.15	27.8
10/17/11	18:33:32	14.15	27.8
10/17/11	18:34:02	14.15	27.8
10/17/11	18:34:32	14.14	27.8
10/17/11	18:35:02	14.15	27.8
10/17/11	18:35:32	14.14	27.8
10/17/11	18:36:02	14.14	27.7
10/17/11	18:36:32	14.14	27.7
10/17/11	18:37:02	14.14	27.7
10/17/11	18:37:32	14.14	27.7
10/17/11	18:38:02	14.13	27.7
10/17/11	18:38:32	14.13	27.7
10/17/11	18:39:02	14.12	27.6
10/17/11	18:39:32	14.12	27.6
10/17/11	18:40:02	14.13	27.6
10/17/11	18:40:32	14.12	27.6
10/17/11	18:41:02	14.12	27.6
10/17/11	18:41:32	14.13	27.6
10/17/11	18:42:02	14.12	27.6
10/17/11	18:42:32	14.12	27.5
10/17/11	18:43:02	14.12	27.5
10/17/11	18:43:32	14.12	27.5
10/17/11	18:44:02	14.12	27.5
10/17/11	18:44:32	14.12	27.5
10/17/11	18:45:02	14.12	27.5
10/17/11	18:45:32	14.12	27.5
10/17/11	18:46:02	14.12	27.4
10/17/11	18:46:32	14.12	27.4
10/17/11	18:47:02	14.12	27.4
10/17/11	18:47:32	14.12	27.4
10/17/11	18:48:02	14.12	27.4
10/17/11	18:48:32	14.12	27.4
10/17/11	18:49:02	14.12	27.4
10/17/11	18:49:32	14.11	27.4
10/17/11	18:50:02	14.12	27.3
10/17/11	18:50:32	14.12	27.3
10/17/11	18:51:02	14.11	27.3
10/17/11	18:51:32	14.11	27.3
10/17/11	18:52:02	14.12	27.3
10/17/11	18:52:32	14.11	27.3
10/17/11	18:53:02	14.11	27.3
10/17/11	18:53:32	14.11	27.3
10/17/11	18:54:02	14.11	27.2
10/17/11	18:54:32	14.10	27.2
10/17/11	18:55:02	14.10	27.2
10/17/11	18:55:32	14.11	27.2
10/17/11	18:56:02	14.10	27.2
10/17/11	18:56:32	14.11	27.2
10/17/11	18:57:02	14.10	27.2
10/17/11	18:57:32	14.10	27.2
10/17/11	18:58:02	14.10	27.2
10/17/11	18:58:32	14.10	27.1
10/17/11	18:59:02	14.10	27.1
10/17/11	18:59:32	14.10	27.1
10/17/11	19:00:02	14.10	27.1
10/17/11	19:00:32	14.10	27.1
10/17/11	19:01:02	14.10	27.1
10/17/11	19:01:32	14.11	27.1
10/17/11	19:02:02	14.11	27.1
10/17/11	19:02:32	14.10	27.1
10/17/11	19:03:02	14.11	27.1
10/17/11	19:03:32	14.10	27.0
10/17/11	19:04:02	14.10	27.0
10/17/11	19:04:32	14.10	27.0
10/17/11	19:05:02	14.10	27.0
10/17/11	19:05:32	14.10	27.0
10/17/11	19:06:02	14.10	27.0
10/17/11	19:06:32	14.10	27.0
10/17/11	19:07:02	14.11	27.0
10/17/11	19:07:32	14.10	27.0
10/17/11	19:08:02	14.10	27.0
10/17/11	19:08:32	14.10	27.0
10/17/11	19:09:02	14.10	26.9
10/17/11	19:09:32	14.10	26.9
10/17/11	19:10:02	14.10	26.9
10/17/11	19:10:32	14.10	26.9
10/17/11	19:11:02	14.10	26.9
10/17/11	19:11:32	14.10	26.9
10/17/11	19:12:02	14.10	26.9
10/17/11	19:12:32	14.11	26.9
10/17/11	19:13:02	14.12	26.9
10/17/11	19:13:32	14.12	26.9
10/17/11	19:14:02	14.12	26.9
10/17/11	19:14:32	14.12	26.8
10/17/11	19:15:02	14.11	26.8
10/17/11	19:15:32	14.11	26.8
10/17/11	19:16:02	14.11	26.8
10/17/11	19:16:32	14.11	26.8
10/17/11	19:17:02	14.12	26.8
10/17/11	19:17:32	14.13	26.8
10/17/11	19:18:02	14.14	26.8
10/17/11	19:18:32	14.15	26.7
10/17/11	19:19:02	14.13	26.7
10/17/11	19:19:32	14.12	26.7
10/17/11	19:20:02	14.12	26.7
10/17/11	19:20:32	14.12	26.7
10/17/11	19:21:02	14.13	26.7
10/17/11	19:21:32	14.13	26.7
10/17/11	19:22:02	14.15	26.7
10/17/11	19:22:32	14.14	26.6
10/17/11	19:23:02	14.15	26.6
10/17/11	19:23:32	14.14	26.6
10/17/11	19:24:02	14.13	26.6
10/17/11	19:24:32	14.13	26.6
10/17/11	19:25:02	14.13	26.6
10/17/11	19:25:32	14.13	26.6
10/17/11	19:26:02	14.13	26.5
10/17/11	19:26:32	14.15	26.5
10/17/11	19:27:02	14.15	26.5
10/17/11	19:27:32	14.14	26.5
10/17/11	19:28:02	14.14	26.5
10/17/11	19:28:32	14.13	26.5
10/17/11	19:29:02	14.13	26.5
10/17/11	19:29:32	14.13	26.5
10/17/11	19:30:02	14.14	26.4
10/17/11	19:30:32	14.13	26.4
10/17/11	19:31:02	14.13	26.4
10/17/11	19:31:32	14.13	26.4
10/17/11	19:32:02	14.13	26.4
10/17/11	19:32:32	14.13	26.4
10/17/11	19:33:02	14.14	26.4
10/17/11	19:33:32	14.15	26.4
10/17/11	19:34:02	14.15	26.4
10/17/11	19:34:32	14.14	26.4
10/17/11	19:35:02	14.13	26.3
10/17/11	19:35:32	14.12	26.3
10/17/11	19:36:02	14.13	26.3
10/17/11	19:36:32	14.13	26.3
10/17/11	19:37:02	14.12	26.3
10/17/11	19:37:32	14.13	26.3
10/17/11	19:38:02	14.14	26.3
10/17/11	19:38:32	14.14	26.3
10/17/11	19:39:02	14.12	26.2
10/17/11	19:39:32	14.13	26.2
10/17/11	19:40:02	14.13	26.2
10/17/11	19:40:32	14.12	26.2
10/17/11	19:41:02	14.12	26.2
10/17/11	19:41:32	14.12	26.2
10/17/11	19:42:02	14.11	26.2
10/17/11	19:42:32	14.12	26.2
10/17/11	19:43:02	14.12	26.2
10/17/11	19:43:32	14.11	26.2
10/17/11	19:44:02	14.11	26.2
10/17/11	19:44:32	14.12	26.2
10/17/11	19:45:02	14.14	26.1
10/17/11	19:45:32	14.13	26.1
10/17/11	19:46:02	14.13	26.1
10/17/11	19:46:32	14.11	26.1
10/17/11	19:47:02	14.12	26.1
10/17/11	19:47:32	14.11	26.1
10/17/11	19:48:02	14.11	26.1
10/17/11	19:48:32	14.11	26.1
10/17/11	19:49:02	14.12	26.1
10/17/11	19:49:32	14.13	26.1
10/17/11	19:50:02	14.12	26.0
10/17/11	19:50:32	14.11	26.0
10/17/11	19:51:02	14.11	26.0
10/17/11	19:51:32	14.11	26.0
10/17/11	19:52:02	14.11	26.0
10/17/11	19:52:32	14.11	26.0
10/17/11	19:53:02	14.11	26.0
10/17/11	19:53:32	14.12	26.0
10/17/11	19:54:02	14.13	26.0
10/17/11	19:54:32	14.11	26.0
10/17/11	19:55:02	14.12	25.9
10/17/11	19:55:32	14.11	25.9
10/17/11	19:56:02	14.10	25.9
10/17/11	19:56:32	14.11	25.9
10/17/11	19:57:02	14.11	25.9
10/17/11	19:57:32	14.12	25.9
10/17/11	19:58:02	14.12	25.9
10/17/11	19:58:32	14.12	25.9
10/17/11	19:59:02	14.11	25.9
10/17/11	19:59:32	14.12	25.8
10/17/11	20:00:02	14.11	25.8
10/17/11	20:00:32	14.11	25.8
10/17/11	20:01:02	14.12	25.8
10/17/11	20:01:32	14.12	25.8
10/17/11	20:02:02	14.13	25.8
10/17/11	20:02:32	14.13	25.8
10/17/11	20:03:02	14.12	25.8
10/17/11	20:03:32	14.12	25.7
10/17/11	20:04:02	14.12	25.7
10/17/11	20:04:32	14.12	25.7
10/17/11	20:05:02	14.12	25.7
10/17/11	20:05:32	14.13	25.7
10/17/11	20:06:02	14.13	25.7
10/17/11	20:06:32	14.14	25.7
10/17/11	20:07:02	14.12	25.7
10/17/11	20:07:32	14.11	25.7
10/17/11	20:08:02	14.12	25.6
10/17/11	20:08:32	14.12	25.6
10/17/11	20:09:02	14.12	25.6
10/17/11	20:09:32	14.12	25.6
10/17/11	20:10:02	14.13	25.6
10/17/11	20:10:32	14.12	25.6
10/17/11	20:11:02	14.12	25.6
10/17/11	20:11:32	14.12	25.6
10/17/11	20:12:02	14.12	25.6
10/17/11	20:12:32	14.11	25.6
10/17/11	20:13:02	14.11	25.6
10/17/11	20:13:32	14.11	25.5
10/17/11	20:14:02	14.13	25.5
10/17/11	20:14:32	14.13	25.5
10/17/11	20:15:02	14.11	25.5
10/17/11	20:15:32	14.11	25.5
10/17/11	20:16:02	14.10	25.5
10/17/11	20:16:32	14.11	25.5
10/17/11	20:17:02	14.11	25.5
10/17/11	20:17:32	14.12	25.5
10/17/11	20:18:02	14.12	25.5
10/17/11	20:18:32	14.12	25.5
10/17/11	20:19:02	14.12	25.5
10/17/11	20:19:32	14.11	25.4
10/17/11	20:20:02	14.11	25.4
10/17/11	20:20:32	14.11	25.4
10/17/11	20:21:02	14.11	25.4
10/17/11	20:21:32	14.10	25.4
10/17/11	20:22:02	14.11	25.4
10/17/11	20:22:32	14.12	25.4
10/17/11	20:23:02	14.12	25.4
10/17/11	20:23:32	14.11	25.4
10/17/11	20:24:02	14.10	25.4
10/17/11	20:24:32	14.10	25.3
10/17/11	20:25:02	14.10	25.3
10/17/11	20:25:32	14.10	25.3
10/17/11	20:26:02	14.11	25.3
10/17/11	20:26:32	14.12	25.3
10/17/11	20:27:02	14.12	25.3
10/17/11	20:27:32	14.10	25.3
10/17/11	20:28:02	14.10	25.3
10/17/11	20:28:32	14.10	25.3
10/17/11	20:29:02	14.11	25.3
10/17/11	20:29:32	14.10	25.3
10/17/11	20:30:02	14.10	25.3
10/17/11	20:30:32	14.11	25.3
10/17/11	20:31:02	14.12	25.2
10/17/11	20:31:32	14.11	25.2
10/17/11	20:32:02	14.10	25.2
10/17/11	20:32:32	14.10	25.2
10/17/11	20:33:02	14.10	25.2
10/17/11	20:33:32	14.10	25.2
10/17/11	20:34:02	14.10	25.2
10/17/11	20:34:32	14.11	25.2
10/17/11	20:35:02	14.11	25.2
10/17/11	20:35:32	14.11	25.2
10/17/11	20:36:02	14.10	25.2
10/17/11	20:36:32	14.10	25.2
